代码	名称	大类行业	细分行业	Unnamed: 4	Unnamed: 5	大类行业.1	细分行业.1
002821.SZ	凯莱英	医药	CXO			大金融	保险
300149.SZ	睿智医药	医药	CXO			大金融	多元金融
300347.SZ	泰格医药	医药	CXO			大金融	房地产
300363.SZ	博腾股份	医药	CXO			大金融	券商
300725.SZ	药石科技	医药	CXO			大金融	银行
300759.SZ	康龙化成	医药	CXO			服务业	出版
301096.SZ	百诚医药	医药	CXO			服务业	电商
301201.SZ	诚达药业	医药	CXO			服务业	广告营销
301230.SZ	泓博医药	医药	CXO			服务业	航空机场
301333.SZ	诺思格	医药	CXO			服务业	环保
603127.SH	昭衍新药	医药	CXO			服务业	教育培训
603259.SH	药明康德	医药	CXO			服务业	快递
603456.SH	九洲药业	医药	CXO			服务业	旅酒与餐饮
688073.SH	毕得医药	医药	CXO			服务业	物流
688076.SH	诺泰生物	医药	CXO			服务业	物业管理
688202.SH	美迪西	医药	CXO			公用事业和工业服务	港口
688222.SH	成都先导	医药	CXO			公用事业和工业服务	公路
688238.SH	和元生物	医药	CXO			公用事业和工业服务	航运
688621.SH	阳光诺和	医药	CXO			公用事业和工业服务	火电
688247.SH	宣泰医药	医药	CXO			公用事业和工业服务	建筑设计
301509.SZ	金凯生科	医药	CXO			公用事业和工业服务	建筑施工
301257.SZ	普蕊斯	医药	CXO			公用事业和工业服务	建筑装修
301520.SZ	万邦医药	医药	CXO			公用事业和工业服务	燃气
000541.SZ	佛山照明	科技	LED			公用事业和工业服务	水电
002449.SZ	国星光电	科技	LED			公用事业和工业服务	铁路
002587.SZ	奥拓电子	科技	LED			公用事业和工业服务	油服
002745.SZ	木林森	科技	LED			公用事业和工业服务	园林工程
002983.SZ	芯瑞达	科技	LED			科技	LED
300102.SZ	乾照光电	科技	LED			科技	PCB
300219.SZ	鸿利智汇	科技	LED			科技	安防
300232.SZ	洲明科技	科技	LED			科技	半导体
300241.SZ	瑞丰光电	科技	LED			科技	储能设备
300296.SZ	利亚德	科技	LED			科技	电子化学品
300303.SZ	聚飞光电	科技	LED			科技	工业互联网
300323.SZ	华灿光电	科技	LED			科技	检测
300389.SZ	艾比森	科技	LED			科技	金融IT
300582.SZ	英飞特	科技	LED			科技	军工电子和原材料
300632.SZ	光莆股份	科技	LED			科技	军工整机和配套
300708.SZ	聚灿光电	科技	LED			科技	面板
300752.SZ	隆利科技	科技	LED			科技	生产线设备
600261.SH	阳光照明	科技	LED			科技	通信服务
600651.SH	飞乐音响	科技	LED			科技	通信硬件
603303.SH	得邦照明	科技	LED			科技	消费电子
603515.SH	欧普照明	科技	LED			科技	新能源车
603703.SH	盛洋科技	科技	LED			科技	信创
605365.SH	立达信	科技	LED			科技	信息安全
688383.SH	新益昌	科技	LED			科技	医疗信息化
002654.SZ	万润科技	科技	LED			科技	影视与互联网媒体
300940.SZ	南极光	科技	LED			科技	应用软件
001326.SZ	联域股份	科技	LED			科技	游戏
301362.SZ	民爆光电	科技	LED			科技	云计算
300625.SZ	三雄极光	科技	LED			科技	智能汽车
000823.SZ	超声电子	科技	PCB			消费	白电
002288.SZ	超华科技	科技	PCB			消费	白酒
002384.SZ	东山精密	科技	PCB			消费	百货与专营
002436.SZ	兴森科技	科技	PCB			消费	超市与便利店
002463.SZ	沪电股份	科技	PCB			消费	动物保健
002579.SZ	中京电子	科技	PCB			消费	纺织与家纺
002636.SZ	金安国纪	科技	PCB			消费	非乳饮料
002815.SZ	崇达技术	科技	PCB			消费	个护用品
002913.SZ	奥士康	科技	PCB			消费	家居家具
002916.SZ	深南电路	科技	PCB			消费	免税
002938.SZ	鹏鼎控股	科技	PCB			消费	农产品加工
300476.SZ	胜宏科技	科技	PCB			消费	啤酒
300657.SZ	弘信电子	科技	PCB			消费	品牌服饰
300852.SZ	四会富仕	科技	PCB			消费	肉制品
300903.SZ	科翔股份	科技	PCB			消费	乳制品
301132.SZ	满坤科技	科技	PCB			消费	饲料
301282.SZ	金禄电子	科技	PCB			消费	速冻食品
600183.SH	生益科技	科技	PCB			消费	调味品
600601.SH	方正科技	科技	PCB			消费	文娱用品
603186.SH	华正新材	科技	PCB			消费	小家电
603228.SH	景旺电子	科技	PCB			消费	休闲食品
603328.SH	依顿电子	科技	PCB			消费	医美
603386.SH	骏亚科技	科技	PCB			医药	CXO
603920.SH	世运电路	科技	PCB			医药	创新药
603936.SH	博敏电子	科技	PCB			医药	化学制药
688020.SH	方邦股份	科技	PCB			医药	生命科学上游
688183.SH	生益电子	科技	PCB			医药	体外诊断
688519.SH	南亚新材	科技	PCB			医药	血制品
301251.SZ	威尔高	科技	PCB			医药	药房
300739.SZ	明阳电路	科技	PCB			医药	医疗服务
301366.SZ	一博科技	科技	PCB			医药	医疗器械
002236.SZ	大华股份	科技	安防			医药	医药流通
002415.SZ	海康威视	科技	安防			医药	疫苗与生物制品
300075.SZ	数字政通	科技	安防			医药	原料药
300691.SZ	联合光电	科技	安防			医药	中药
300790.SZ	宇瞳光学	科技	安防			制造业	包装印刷
301117.SZ	佳缘科技	科技	安防			制造业	乘用车
301330.SZ	熵基科技	科技	安防			制造业	风电
600728.SH	佳都科技	科技	安防			制造业	钢结构
603508.SH	思维列控	科技	安防			制造业	高铁与城轨
688475.SH	萤石网络	科技	安防			制造业	工程机械
688489.SH	三未信安	科技	安防			制造业	光伏
688509.SH	正元地信	科技	安防			制造业	核电
301396.SZ	宏景科技	科技	安防			制造业	化肥
301318.SZ	维海德	科技	安防			制造业	化学纤维
002835.SZ	同为股份	科技	安防			制造业	化学原料及制品
300479.SZ	神思电子	科技	安防			制造业	黄金
000333.SZ	美的集团	消费	白电			制造业	机械基础件
000521.SZ	长虹美菱	消费	白电			制造业	建材
000651.SZ	格力电器	消费	白电			制造业	楼宇设备
000921.SZ	海信家电	消费	白电			制造业	农药
002668.SZ	奥马电器	消费	白电			制造业	汽车零部件
600060.SH	海信视像	消费	白电			制造业	商用车
600690.SH	海尔智家	消费	白电			制造业	输变电设备
600839.SH	四川长虹	消费	白电			制造业	水泥
600983.SH	惠而浦	消费	白电			制造业	塑料及制品
000568.SZ	泸州老窖	消费	白酒			制造业	维生素
000596.SZ	古井贡酒	消费	白酒			制造业	橡胶及制品
000799.SZ	酒鬼酒	消费	白酒			制造业	专用设备
000858.SZ	五粮液	消费	白酒			周期	钢铁
000860.SZ	顺鑫农业	消费	白酒			周期	工业金属
002304.SZ	洋河股份	消费	白酒			周期	煤炭
002646.SZ	天佑德酒	消费	白酒			周期	石油化工
600197.SH	伊力特	消费	白酒			周期	石油开采
600199.SH	金种子酒	消费	白酒			周期	稀有金属
600519.SH	贵州茅台	消费	白酒			周期	养殖
600559.SH	老白干酒	消费	白酒			周期	造纸
600696.SH	岩石股份	消费	白酒			周期	种植业
600702.SH	舍得酒业	消费	白酒				
600779.SH	水井坊	消费	白酒				
600809.SH	山西汾酒	消费	白酒				
603198.SH	迎驾贡酒	消费	白酒				
603369.SH	今世缘	消费	白酒				
603589.SH	口子窖	消费	白酒				
603919.SH	金徽酒	消费	白酒				
000026.SZ	飞亚达	消费	百货与专营				
000061.SZ	农产品	消费	百货与专营				
000417.SZ	合肥百货	消费	百货与专营				
000501.SZ	武商集团	消费	百货与专营				
000785.SZ	居然之家	消费	百货与专营				
000829.SZ	天音控股	消费	百货与专营				
002091.SZ	江苏国泰	消费	百货与专营				
002187.SZ	广百股份	消费	百货与专营				
002277.SZ	友阿股份	消费	百货与专营				
002344.SZ	海宁皮城	消费	百货与专营				
002345.SZ	潮宏基	消费	百货与专营				
002416.SZ	爱施德	消费	百货与专营				
002419.SZ	天虹股份	消费	百货与专营				
002818.SZ	富森美	消费	百货与专营				
002867.SZ	周大生	消费	百货与专营				
300755.SZ	华致酒行	消费	百货与专营				
301078.SZ	孩子王	消费	百货与专营				
301177.SZ	迪阿股份	消费	百货与专营				
301215.SZ	中汽股份	消费	百货与专营				
600297.SH	广汇汽车	消费	百货与专营				
600327.SH	大东方	消费	百货与专营				
600335.SH	国机汽车	消费	百货与专营				
600386.SH	北巴传媒	消费	百货与专营				
600415.SH	小商品城	消费	百货与专营				
600612.SH	老凤祥	消费	百货与专营				
600628.SH	新世界	消费	百货与专营				
600653.SH	申华控股	消费	百货与专营				
600655.SH	豫园股份	消费	百货与专营				
600694.SH	大商股份	消费	百货与专营				
600729.SH	重庆百货	消费	百货与专营				
600738.SH	丽尚国潮	消费	百货与专营				
600790.SH	轻纺城	消费	百货与专营				
600811.SH	东方集团	消费	百货与专营				
600822.SH	上海物贸	消费	百货与专营				
600824.SH	益民集团	消费	百货与专营				
600826.SH	兰生股份	消费	百货与专营				
600828.SH	茂业商业	消费	百货与专营				
600861.SH	北京人力	消费	百货与专营				
600916.SH	中国黄金	消费	百货与专营				
601366.SH	利群股份	消费	百货与专营				
601828.SH	美凯龙	消费	百货与专营				
603123.SH	翠微股份	消费	百货与专营				
605599.SH	菜百股份	消费	百货与专营				
000882.SZ	华联股份	消费	百货与专营				
000861.SZ	海印股份	消费	百货与专营				
300945.SZ	曼卡龙	消费	百货与专营				
001309.SZ	德明利	科技	半导体				
002077.SZ	大港股份	科技	半导体				
002079.SZ	苏州固锝	科技	半导体				
002156.SZ	通富微电	科技	半导体				
002185.SZ	华天科技	科技	半导体				
002371.SZ	北方华创	科技	半导体				
003043.SZ	华亚智能	科技	半导体				
300046.SZ	台基股份	科技	半导体				
300053.SZ	航宇微	科技	半导体				
300223.SZ	北京君正	科技	半导体				
300327.SZ	中颖电子	科技	半导体				
300373.SZ	扬杰科技	科技	半导体				
300456.SZ	赛微电子	科技	半导体				
300458.SZ	全志科技	科技	半导体				
300480.SZ	光力科技	科技	半导体				
300567.SZ	精测电子	科技	半导体				
300604.SZ	长川科技	科技	半导体				
300613.SZ	富瀚微	科技	半导体				
300623.SZ	捷捷微电	科技	半导体				
300661.SZ	圣邦股份	科技	半导体				
300671.SZ	富满微	科技	半导体				
300672.SZ	国科微	科技	半导体				
300782.SZ	卓胜微	科技	半导体				
300831.SZ	派瑞股份	科技	半导体				
301297.SZ	富乐德	科技	半导体				
301308.SZ	江波龙	科技	半导体				
600171.SH	上海贝岭	科技	半导体				
600360.SH	华微电子	科技	半导体				
600460.SH	士兰微	科技	半导体				
600584.SH	长电科技	科技	半导体				
600641.SH	万业企业	科技	半导体				
600703.SH	三安光电	科技	半导体				
600745.SH	闻泰科技	科技	半导体				
600877.SH	电科芯片	科技	半导体				
603005.SH	晶方科技	科技	半导体				
603061.SH	金海通	科技	半导体				
603068.SH	博通集成	科技	半导体				
603160.SH	汇顶科技	科技	半导体				
603290.SH	斯达半导	科技	半导体				
603501.SH	韦尔股份	科技	半导体				
603690.SH	至纯科技	科技	半导体				
603893.SH	瑞芯微	科技	半导体				
603986.SH	兆易创新	科技	半导体				
605111.SH	新洁能	科技	半导体				
688008.SH	澜起科技	科技	半导体				
688012.SH	中微公司	科技	半导体				
688018.SH	乐鑫科技	科技	半导体				
688037.SH	芯源微	科技	半导体				
688048.SH	长光华芯	科技	半导体				
688049.SH	炬芯科技	科技	半导体				
688052.SH	纳芯微	科技	半导体				
688061.SH	灿瑞科技	科技	半导体				
688072.SH	拓荆科技	科技	半导体				
688079.SH	美迪凯	科技	半导体				
688082.SH	盛美上海	科技	半导体				
688099.SH	晶晨股份	科技	半导体				
688107.SH	安路科技	科技	半导体				
688110.SH	东芯股份	科技	半导体				
688120.SH	华海清科	科技	半导体				
688123.SH	聚辰股份	科技	半导体				
688135.SH	利扬芯片	科技	半导体				
688141.SH	杰华特	科技	半导体				
688153.SH	唯捷创芯	科技	半导体				
688167.SH	炬光科技	科技	半导体				
688172.SH	燕东微	科技	半导体				
688173.SH	希荻微	科技	半导体				
688200.SH	华峰测控	科技	半导体				
688206.SH	概伦电子	科技	半导体				
688209.SH	英集芯	科技	半导体				
688213.SH	思特威-W	科技	半导体				
688220.SH	翱捷科技-U	科技	半导体				
688230.SH	芯导科技	科技	半导体				
688249.SH	晶合集成	科技	半导体				
688256.SH	寒武纪-U	科技	半导体				
688259.SH	创耀科技	科技	半导体				
688261.SH	东微半导	科技	半导体				
688262.SH	国芯科技	科技	半导体				
688270.SH	臻镭科技	科技	半导体				
688279.SH	峰岹科技	科技	半导体				
688286.SH	敏芯股份	科技	半导体				
688332.SH	中科蓝讯	科技	半导体				
688352.SH	颀中科技	科技	半导体				
688361.SH	中科飞测	科技	半导体				
688362.SH	甬矽电子	科技	半导体				
688368.SH	晶丰明源	科技	半导体				
688372.SH	伟测科技	科技	半导体				
688380.SH	中微半导	科技	半导体				
688381.SH	帝奥微	科技	半导体				
688385.SH	复旦微电	科技	半导体				
688391.SH	钜泉科技	科技	半导体				
688396.SH	华润微	科技	半导体				
688401.SH	路维光电	科技	半导体				
688409.SH	富创精密	科技	半导体				
688416.SH	恒烁股份	科技	半导体				
688458.SH	美芯晟	科技	半导体				
688469.SH	芯联集成-U	科技	半导体				
688478.SH	晶升股份	科技	半导体				
688484.SH	南芯科技	科技	半导体				
688486.SH	龙迅股份	科技	半导体				
688498.SH	源杰科技	科技	半导体				
688508.SH	芯朋微	科技	半导体				
688512.SH	慧智微-U	科技	半导体				
688515.SH	裕太微-U	科技	半导体				
688521.SH	芯原股份	科技	半导体				
688525.SH	佰维存储	科技	半导体				
688536.SH	思瑞浦	科技	半导体				
688582.SH	芯动联科	科技	半导体				
688589.SH	力合微	科技	半导体				
688593.SH	新相微	科技	半导体				
688595.SH	芯海科技	科技	半导体				
688601.SH	力芯微	科技	半导体				
688608.SH	恒玄科技	科技	半导体				
688620.SH	安凯微	科技	半导体				
688630.SH	芯碁微装	科技	半导体				
688661.SH	和林微纳	科技	半导体				
688689.SH	银河微电	科技	半导体				
688699.SH	明微电子	科技	半导体				
688711.SH	宏微科技	科技	半导体				
688728.SH	格科微	科技	半导体				
688766.SH	普冉股份	科技	半导体				
688798.SH	艾为电子	科技	半导体				
688981.SH	中芯国际	科技	半导体				
688403.SH	汇成股份	科技	半导体				
430139.BJ	华岭股份	科技	半导体				
301348.SZ	蓝箭电子	科技	半导体				
688652.SH	京仪装备	科技	半导体				
301369.SZ	联动科技	科技	半导体				
688653.SH	康希通信	科技	半导体				
688702.SH	盛科通信-U	科技	半导体				
688252.SH	天德钰	科技	半导体				
688591.SH	泰凌微	科技	半导体				
300077.SZ	国民技术	科技	半导体				
688347.SH	华虹公司	科技	半导体				
002014.SZ	永新股份	制造业	包装印刷				
002117.SZ	东港股份	制造业	包装印刷				
002191.SZ	劲嘉股份	制造业	包装印刷				
002228.SZ	合兴包装	制造业	包装印刷				
002243.SZ	力合科创	制造业	包装印刷				
002303.SZ	美盈森	制造业	包装印刷				
002599.SZ	盛通股份	制造业	包装印刷				
002701.SZ	奥瑞金	制造业	包装印刷				
002735.SZ	王子新材	制造业	包装印刷				
002752.SZ	昇兴股份	制造业	包装印刷				
002831.SZ	裕同科技	制造业	包装印刷				
002846.SZ	英联股份	制造业	包装印刷				
301062.SZ	上海艾录	制造业	包装印刷				
301296.SZ	新巨丰	制造业	包装印刷				
601515.SH	东峰集团	制造业	包装印刷				
601968.SH	宝钢包装	制造业	包装印刷				
603429.SH	集友股份	制造业	包装印刷				
605007.SH	五洲特纸	制造业	包装印刷				
605377.SH	华旺科技	制造业	包装印刷				
002969.SZ	嘉美包装	制造业	包装印刷				
603058.SH	永吉股份	制造业	包装印刷				
002565.SZ	顺灏股份	制造业	包装印刷				
000812.SZ	陕西金叶	制造业	包装印刷				
600076.SH	康欣新材	制造业	包装印刷				
000627.SZ	天茂集团	大金融	保险				
601318.SH	中国平安	大金融	保险				
601319.SH	中国人保	大金融	保险				
601336.SH	新华保险	大金融	保险				
601601.SH	中国太保	大金融	保险				
601628.SH	中国人寿	大金融	保险				
002697.SZ	红旗连锁	消费	超市与便利店				
600827.SH	百联股份	消费	超市与便利店				
601933.SH	永辉超市	消费	超市与便利店				
603708.SH	家家悦	消费	超市与便利店				
605188.SH	国光连锁	消费	超市与便利店				
000625.SZ	长安汽车	制造业	乘用车				
002594.SZ	比亚迪	制造业	乘用车				
600104.SH	上汽集团	制造业	乘用车				
600733.SH	北汽蓝谷	制造业	乘用车				
601127.SH	赛力斯	制造业	乘用车				
601238.SH	广汽集团	制造业	乘用车				
601633.SH	长城汽车	制造业	乘用车				
000572.SZ	海马汽车	制造业	乘用车				
000719.SZ	中原传媒	服务业	出版				
300364.SZ	中文在线	服务业	出版				
300654.SZ	世纪天鸿	服务业	出版				
300788.SZ	中信出版	服务业	出版				
301025.SZ	读客文化	服务业	出版				
600229.SH	城市传媒	服务业	出版				
600373.SH	中文传媒	服务业	出版				
600633.SH	浙数文化	服务业	出版				
600757.SH	长江传媒	服务业	出版				
600825.SH	新华传媒	服务业	出版				
601019.SH	山东出版	服务业	出版				
601098.SH	中南传媒	服务业	出版				
601801.SH	皖新传媒	服务业	出版				
601811.SH	新华文轩	服务业	出版				
601858.SH	中国科传	服务业	出版				
601900.SH	南方传媒	服务业	出版				
601921.SH	浙版传媒	服务业	出版				
601928.SH	凤凰传媒	服务业	出版				
601949.SH	中国出版	服务业	出版				
603230.SH	内蒙新华	服务业	出版				
601999.SH	出版传媒	服务业	出版				
600551.SH	时代出版	服务业	出版				
603999.SH	读者传媒	服务业	出版				
000793.SZ	华闻集团	服务业	出版				
002181.SZ	粤传媒	服务业	出版				
002335.SZ	科华数据	科技	储能设备				
002518.SZ	科士达	科技	储能设备				
002733.SZ	雄韬股份	科技	储能设备				
002837.SZ	英维克	科技	储能设备				
300068.SZ	南都电源	科技	储能设备				
300274.SZ	阳光电源	科技	储能设备				
300376.SZ	易事特	科技	储能设备				
300438.SZ	鹏辉能源	科技	储能设备				
300499.SZ	高澜股份	科技	储能设备				
300693.SZ	盛弘股份	科技	储能设备				
300763.SZ	锦浪科技	科技	储能设备				
300827.SZ	上能电气	科技	储能设备				
300990.SZ	同飞股份	科技	储能设备				
301327.SZ	华宝新能	科技	储能设备				
603063.SH	禾望电气	科技	储能设备				
605117.SH	德业股份	科技	储能设备				
688032.SH	禾迈股份	科技	储能设备				
688063.SH	派能科技	科技	储能设备				
688339.SH	亿华通-U	科技	储能设备				
688348.SH	昱能科技	科技	储能设备				
688390.SH	固德威	科技	储能设备				
600212.SH	绿能慧充	科技	储能设备				
301516.SZ	中远通	科技	储能设备				
002422.SZ	科伦药业	医药	创新药				
002653.SZ	海思科	医药	创新药				
002773.SZ	康弘药业	医药	创新药				
300558.SZ	贝达药业	医药	创新药				
600196.SH	复星医药	医药	创新药				
600276.SH	恒瑞医药	医药	创新药				
688062.SH	迈威生物-U	医药	创新药				
688091.SH	上海谊众	医药	创新药				
688176.SH	亚虹医药-U	医药	创新药				
688177.SH	百奥泰	医药	创新药				
688180.SH	君实生物-U	医药	创新药				
688192.SH	迪哲医药-U	医药	创新药				
688197.SH	首药控股-U	医药	创新药				
688221.SH	前沿生物-U	医药	创新药				
688235.SH	百济神州-U	医药	创新药				
688266.SH	泽璟制药-U	医药	创新药				
688278.SH	特宝生物	医药	创新药				
688302.SH	海创药业-U	医药	创新药				
688321.SH	微芯生物	医药	创新药				
688331.SH	荣昌生物	医药	创新药				
688336.SH	三生国健	医药	创新药				
688373.SH	盟科药业-U	医药	创新药				
688382.SH	益方生物-U	医药	创新药				
688428.SH	诺诚健华-U	医药	创新药				
688443.SH	智翔金泰-U	医药	创新药				
688506.SH	百利天恒-U	医药	创新药				
688520.SH	神州细胞-U	医药	创新药				
688553.SH	汇宇制药-W	医药	创新药				
688578.SH	艾力斯	医药	创新药				
688687.SH	凯因科技	医药	创新药				
002127.SZ	南极电商	服务业	电商				
002291.SZ	遥望科技	服务业	电商				
002315.SZ	焦点科技	服务业	电商				
002803.SZ	吉宏股份	服务业	电商				
300226.SZ	上海钢联	服务业	电商				
300785.SZ	值得买	服务业	电商				
300792.SZ	壹网壹创	服务业	电商				
600556.SH	天下秀	服务业	电商				
603613.SH	国联股份	服务业	电商				
301381.SZ	赛维时代	服务业	电商				
301558.SZ	三态股份	服务业	电商				
601113.SH	华鼎股份	服务业	电商				
002409.SZ	雅克科技	科技	电子化学品				
002643.SZ	万润股份	科技	电子化学品				
002741.SZ	光华科技	科技	电子化学品				
003026.SZ	中晶科技	科技	电子化学品				
300054.SZ	鼎龙股份	科技	电子化学品				
300236.SZ	上海新阳	科技	电子化学品				
300263.SZ	隆华科技	科技	电子化学品				
300285.SZ	国瓷材料	科技	电子化学品				
300346.SZ	南大光电	科技	电子化学品				
300398.SZ	飞凯材料	科技	电子化学品				
300429.SZ	强力新材	科技	电子化学品				
300446.SZ	航天智造	科技	电子化学品				
300481.SZ	濮阳惠成	科技	电子化学品				
300537.SZ	广信材料	科技	电子化学品				
300576.SZ	容大感光	科技	电子化学品				
300655.SZ	晶瑞电材	科技	电子化学品				
300666.SZ	江丰电子	科技	电子化学品				
300684.SZ	中石科技	科技	电子化学品				
300706.SZ	阿石创	科技	电子化学品				
301286.SZ	侨源股份	科技	电子化学品				
600206.SH	有研新材	科技	电子化学品				
603002.SH	宏昌电子	科技	电子化学品				
603078.SH	江化微	科技	电子化学品				
603650.SH	彤程新材	科技	电子化学品				
603931.SH	格林达	科技	电子化学品				
605358.SH	立昂微	科技	电子化学品				
688019.SH	安集科技	科技	电子化学品				
688035.SH	德邦科技	科技	电子化学品				
688093.SH	世华科技	科技	电子化学品				
688106.SH	金宏气体	科技	电子化学品				
688126.SH	沪硅产业	科技	电子化学品				
688138.SH	清溢光电	科技	电子化学品				
688146.SH	中船特气	科技	电子化学品				
688150.SH	莱特光电	科技	电子化学品				
688233.SH	神工股份	科技	电子化学品				
688234.SH	天岳先进	科技	电子化学品				
688268.SH	华特气体	科技	电子化学品				
688359.SH	三孚新科	科技	电子化学品				
688371.SH	菲沃泰	科技	电子化学品				
688432.SH	有研硅	科技	电子化学品				
688535.SH	华海诚科	科技	电子化学品				
688550.SH	瑞联新材	科技	电子化学品				
688720.SH	艾森股份	科技	电子化学品				
688603.SH	天承科技	科技	电子化学品				
688549.SH	中巨芯-U	科技	电子化学品				
301489.SZ	思泉新材	科技	电子化学品				
688548.SH	广钢气体	科技	电子化学品				
688602.SH	康鹏科技	科技	电子化学品				
002507.SZ	涪陵榨菜	消费	调味品				
002650.SZ	加加食品	消费	调味品				
300908.SZ	仲景食品	消费	调味品				
600305.SH	恒顺醋业	消费	调味品				
600872.SH	中炬高新	消费	调味品				
600929.SH	雪天盐业	消费	调味品				
601065.SH	江盐集团	消费	调味品				
603027.SH	千禾味业	消费	调味品				
603170.SH	宝立食品	消费	调味品				
603288.SH	海天味业	消费	调味品				
603317.SH	天味食品	消费	调味品				
600186.SH	莲花健康	消费	调味品				
002688.SZ	金河生物	消费	动物保健				
300119.SZ	瑞普生物	消费	动物保健				
600195.SH	中牧股份	消费	动物保健				
600201.SH	生物股份	消费	动物保健				
603566.SH	普莱柯	消费	动物保健				
603718.SH	海利生物	消费	动物保健				
688526.SH	科前生物	消费	动物保健				
000563.SZ	陕国投A	大金融	多元金融				
000567.SZ	海德股份	大金融	多元金融				
000617.SZ	中油资本	大金融	多元金融				
000935.SZ	四川双马	大金融	多元金融				
000987.SZ	越秀资本	大金融	多元金融				
002608.SZ	江苏国信	大金融	多元金融				
002961.SZ	瑞达期货	大金融	多元金融				
600120.SH	浙江东方	大金融	多元金融				
600390.SH	五矿资本	大金融	多元金融				
600643.SH	爱建集团	大金融	多元金融				
600705.SH	中航产融	大金融	多元金融				
600901.SH	江苏金租	大金融	多元金融				
600927.SH	永安期货	大金融	多元金融				
603093.SH	南华期货	大金融	多元金融				
002423.SZ	中粮资本	大金融	多元金融				
001236.SZ	弘业期货	大金融	多元金融				
600816.SH	建元信托	大金融	多元金融				
000532.SZ	华金资本	大金融	多元金融				
000415.SZ	渤海租赁	大金融	多元金融				
000002.SZ	万科A	大金融	房地产				
000011.SZ	深物业A	大金融	房地产				
000031.SZ	大悦城	大金融	房地产				
000036.SZ	华联控股	大金融	房地产				
000048.SZ	京基智农	大金融	房地产				
000069.SZ	华侨城A	大金融	房地产				
000402.SZ	金融街	大金融	房地产				
000537.SZ	中绿电	大金融	房地产				
000656.SZ	*ST金科	大金融	房地产				
000718.SZ	苏宁环球	大金融	房地产				
000736.SZ	中交地产	大金融	房地产				
000863.SZ	三湘印象	大金融	房地产				
001979.SZ	招商蛇口	大金融	房地产				
002016.SZ	世荣兆业	大金融	房地产				
002146.SZ	荣盛发展	大金融	房地产				
002208.SZ	合肥城建	大金融	房地产				
002244.SZ	滨江集团	大金融	房地产				
002314.SZ	南山控股	大金融	房地产				
600007.SH	中国国贸	大金融	房地产				
600048.SH	保利发展	大金融	房地产				
600064.SH	南京高科	大金融	房地产				
600094.SH	大名城	大金融	房地产				
600185.SH	格力地产	大金融	房地产				
600208.SH	新湖中宝	大金融	房地产				
600223.SH	福瑞达	大金融	房地产				
600246.SH	万通发展	大金融	房地产				
600266.SH	城建发展	大金融	房地产				
600325.SH	华发股份	大金融	房地产				
600376.SH	首开股份	大金融	房地产				
600383.SH	金地集团	大金融	房地产				
600503.SH	华丽家族	大金融	房地产				
600515.SH	海南机场	大金融	房地产				
600603.SH	广汇物流	大金融	房地产				
600604.SH	市北高新	大金融	房地产				
600606.SH	绿地控股	大金融	房地产				
600622.SH	光大嘉宝	大金融	房地产				
600639.SH	浦东金桥	大金融	房地产				
600648.SH	外高桥	大金融	房地产				
600649.SH	城投控股	大金融	房地产				
600658.SH	电子城	大金融	房地产				
600663.SH	陆家嘴	大金融	房地产				
600675.SH	中华企业	大金融	房地产				
600708.SH	光明地产	大金融	房地产				
600748.SH	上实发展	大金融	房地产				
600773.SH	西藏城投	大金融	房地产				
600848.SH	上海临港	大金融	房地产				
600895.SH	张江高科	大金融	房地产				
601155.SH	新城控股	大金融	房地产				
601512.SH	中新集团	大金融	房地产				
601588.SH	北辰实业	大金融	房地产				
002305.SZ	南国置业	大金融	房地产				
600736.SH	苏州高新	大金融	房地产				
000006.SZ	深振业A	大金融	房地产				
600510.SH	黑牡丹	大金融	房地产				
000926.SZ	福星股份	大金融	房地产				
000517.SZ	荣安地产	大金融	房地产				
000886.SZ	海南高速	大金融	房地产				
000558.SZ	莱茵体育	大金融	房地产				
000726.SZ	鲁泰A	消费	纺织与家纺				
000850.SZ	华茂股份	消费	纺织与家纺				
002003.SZ	伟星股份	消费	纺织与家纺				
002042.SZ	华孚时尚	消费	纺织与家纺				
002083.SZ	孚日股份	消费	纺织与家纺				
002293.SZ	罗莱生活	消费	纺织与家纺				
002327.SZ	富安娜	消费	纺织与家纺				
300918.SZ	南山智尚	消费	纺织与家纺				
600987.SH	航民股份	消费	纺织与家纺				
601339.SH	百隆东方	消费	纺织与家纺				
601718.SH	际华集团	消费	纺织与家纺				
603365.SH	水星家纺	消费	纺织与家纺				
603558.SH	健盛集团	消费	纺织与家纺				
603889.SH	新澳股份	消费	纺织与家纺				
605138.SH	盛泰集团	消费	纺织与家纺				
600630.SH	龙头股份	消费	纺织与家纺				
601599.SH	浙文影业	消费	纺织与家纺				
000848.SZ	承德露露	消费	非乳饮料				
000869.SZ	张裕A	消费	非乳饮料				
002568.SZ	百润股份	消费	非乳饮料				
300997.SZ	欢乐家	消费	非乳饮料				
600059.SH	古越龙山	消费	非乳饮料				
600238.SH	海南椰岛	消费	非乳饮料				
600300.SH	维维股份	消费	非乳饮料				
600616.SH	金枫酒业	消费	非乳饮料				
601579.SH	会稽山	消费	非乳饮料				
603156.SH	养元饮品	消费	非乳饮料				
603711.SH	香飘飘	消费	非乳饮料				
605300.SH	佳禾食品	消费	非乳饮料				
605337.SH	李子园	消费	非乳饮料				
605388.SH	均瑶健康	消费	非乳饮料				
605499.SH	东鹏饮料	消费	非乳饮料				
